simulation_id,strategy_id,strategy,rank,adjusted_value,abandonment_risk
2367,ROA001,Household Preparedness Campaign,7,0.21302,3.89862
2367,ROA007,Risk Mapping Dashboard Without Funding,8,-1.81257,5.08742
2368,ROA002,Public Housing Climate Retrofit,1,7.46417,0.31389
2368,ROA006,Drainage Repair and Social Protection Package,2,7.41126,0.34374
2368,ROA005,Managed Retreat with Long-Term Support,3,7.34405,0.39985
2368,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.16673,0.47076
2368,ROA003,Community-Led Cooling and Care Network,5,6.47546,0.7363
2368,ROA004,Flood Defense for High-Value Assets,6,3.03602,2.86227
2368,ROA001,Household Preparedness Campaign,7,-0.44439,4.23852
2368,ROA007,Risk Mapping Dashboard Without Funding,8,-1.06317,4.93082
2369,ROA005,Managed Retreat with Long-Term Support,1,8.10989,0.24191
2369,ROA006,Drainage Repair and Social Protection Package,2,8.05944,0.2715
2369,ROA002,Public Housing Climate Retrofit,3,7.33048,0.54777
2369,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.23194,0.38043
2369,ROA003,Community-Led Cooling and Care Network,5,6.95037,0.53286
2369,ROA004,Flood Defense for High-Value Assets,6,3.5239,2.60459
2369,ROA007,Risk Mapping Dashboard Without Funding,7,-0.15856,4.38048
2369,ROA001,Household Preparedness Campaign,8,-1.41718,4.84492
2370,ROA008,Mutual Aid Network with Public Capacity Agreement,1,7.62904,0.48774
2370,ROA005,Managed Retreat with Long-Term Support,2,7.61509,0.35253
2370,ROA002,Public Housing Climate Retrofit,3,7.56537,0.43546
2370,ROA006,Drainage Repair and Social Protection Package,4,6.92888,0.80402
2370,ROA003,Community-Led Cooling and Care Network,5,6.40648,0.76292
2370,ROA004,Flood Defense for High-Value Assets,6,2.70728,3.00494
2370,ROA007,Risk Mapping Dashboard Without Funding,7,-0.6851,4.55631
2370,ROA001,Household Preparedness Campaign,8,-1.44998,4.90674
2371,ROA002,Public Housing Climate Retrofit,1,7.96641,0.20559
2371,ROA006,Drainage Repair and Social Protection Package,2,7.87962,0.23921
2371,ROA005,Managed Retreat with Long-Term Support,3,7.70762,0.33817
2371,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.10911,0.49505
2371,ROA003,Community-Led Cooling and Care Network,5,6.41517,0.90305
2371,ROA004,Flood Defense for High-Value Assets,6,2.89955,2.80578
2371,ROA001,Household Preparedness Campaign,7,-0.68754,4.58433
2371,ROA007,Risk Mapping Dashboard Without Funding,8,-2.08527,5.44897
2372,ROA006,Drainage Repair and Social Protection Package,1,7.94137,0.41441
2372,ROA002,Public Housing Climate Retrofit,2,7.84702,0.4085
2372,ROA005,Managed Retreat with Long-Term Support,3,7.52641,0.40008
2372,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.19885,0.52379
2372,ROA003,Community-Led Cooling and Care Network,5,6.54144,0.78653
2372,ROA004,Flood Defense for High-Value Assets,6,2.46202,2.99158
2372,ROA001,Household Preparedness Campaign,7,-0.3674,4.31495
2372,ROA007,Risk Mapping Dashboard Without Funding,8,-0.80603,4.60074
2373,ROA006,Drainage Repair and Social Protection Package,1,7.84014,0.34433
2373,ROA005,Managed Retreat with Long-Term Support,2,7.40741,0.535
2373,ROA002,Public Housing Climate Retrofit,3,7.3556,0.5215
2373,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.06089,0.57555
2373,ROA003,Community-Led Cooling and Care Network,5,6.66521,0.81337
2373,ROA004,Flood Defense for High-Value Assets,6,2.83806,3.01583
2373,ROA001,Household Preparedness Campaign,7,-0.81874,4.47133
2373,ROA007,Risk Mapping Dashboard Without Funding,8,-1.27095,4.87232
2374,ROA006,Drainage Repair and Social Protection Package,1,8.08854,0.44891
2374,ROA005,Managed Retreat with Long-Term Support,2,7.44139,0.33789
2374,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.3869,0.35594
2374,ROA002,Public Housing Climate Retrofit,4,7.30583,0.35985
2374,ROA003,Community-Led Cooling and Care Network,5,6.98297,0.40714
2374,ROA004,Flood Defense for High-Value Assets,6,2.32168,3.14909
2374,ROA001,Household Preparedness Campaign,7,-0.71928,4.50057
2374,ROA007,Risk Mapping Dashboard Without Funding,8,-2.39313,5.50211
2375,ROA006,Drainage Repair and Social Protection Package,1,8.20828,0.14048
2375,ROA005,Managed Retreat with Long-Term Support,2,8.03666,0.42212
2375,ROA002,Public Housing Climate Retrofit,3,7.51792,0.45046
2375,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.20517,0.44089
2375,ROA003,Community-Led Cooling and Care Network,5,6.22772,0.91139
2375,ROA004,Flood Defense for High-Value Assets,6,2.35403,3.2691
2375,ROA001,Household Preparedness Campaign,7,-1.70733,5.05697
2375,ROA007,Risk Mapping Dashboard Without Funding,8,-2.11779,5.4657
2376,ROA006,Drainage Repair and Social Protection Package,1,7.79174,0.38064
2376,ROA005,Managed Retreat with Long-Term Support,2,7.32508,0.45945
2376,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.32235,0.42989
2376,ROA002,Public Housing Climate Retrofit,4,7.22527,0.44082
2376,ROA003,Community-Led Cooling and Care Network,5,6.38163,0.69072
2376,ROA004,Flood Defense for High-Value Assets,6,2.47327,3.02606
2376,ROA001,Household Preparedness Campaign,7,0.59298,3.85743
2376,ROA007,Risk Mapping Dashboard Without Funding,8,-1.70092,5.30368
2377,ROA005,Managed Retreat with Long-Term Support,1,7.54366,0.42896
2377,ROA003,Community-Led Cooling and Care Network,2,7.37101,0.36617
2377,ROA002,Public Housing Climate Retrofit,3,7.25856,0.46987
2377,ROA006,Drainage Repair and Social Protection Package,4,6.97502,0.439
2377,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.93117,0.52307
2377,ROA004,Flood Defense for High-Value Assets,6,3.64851,2.56677
2377,ROA007,Risk Mapping Dashboard Without Funding,7,-0.66088,4.46815
2377,ROA001,Household Preparedness Campaign,8,-1.90999,5.28494
2378,ROA006,Drainage Repair and Social Protection Package,1,7.75818,0.43991
2378,ROA002,Public Housing Climate Retrofit,2,7.11523,0.5461
2378,ROA003,Community-Led Cooling and Care Network,3,6.58744,0.59418
2378,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.47454,0.78396
2378,ROA005,Managed Retreat with Long-Term Support,5,6.4172,0.93832
2378,ROA004,Flood Defense for High-Value Assets,6,2.68108,2.91508
2378,ROA001,Household Preparedness Campaign,7,-0.35617,4.34701
2378,ROA007,Risk Mapping Dashboard Without Funding,8,-1.22528,4.84463
2379,ROA005,Managed Retreat with Long-Term Support,1,7.95162,0.24016
2379,ROA002,Public Housing Climate Retrofit,2,7.93626,0.32776
2379,ROA006,Drainage Repair and Social Protection Package,3,7.77121,0.35781
2379,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.19278,0.37521
2379,ROA003,Community-Led Cooling and Care Network,5,6.89615,0.67229
2379,ROA004,Flood Defense for High-Value Assets,6,1.94217,3.3471
2379,ROA001,Household Preparedness Campaign,7,-0.12611,4.0835
2379,ROA007,Risk Mapping Dashboard Without Funding,8,-1.59646,5.22271
2380,ROA005,Managed Retreat with Long-Term Support,1,8.25246,0.34374
2380,ROA002,Public Housing Climate Retrofit,2,7.71603,0.35132
2380,ROA003,Community-Led Cooling and Care Network,3,7.61081,0.36892
2380,ROA006,Drainage Repair and Social Protection Package,4,7.49936,0.31713
2380,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.77814,0.57862
2380,ROA004,Flood Defense for High-Value Assets,6,2.64413,2.99476
2380,ROA007,Risk Mapping Dashboard Without Funding,7,-1.20917,4.96535
2380,ROA001,Household Preparedness Campaign,8,-1.30958,4.90524
2381,ROA002,Public Housing Climate Retrofit,1,7.62879,0.44994
2381,ROA005,Managed Retreat with Long-Term Support,2,7.60182,0.35342
2381,ROA006,Drainage Repair and Social Protection Package,3,7.58582,0.52425
2381,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.31223,0.42112
2381,ROA003,Community-Led Cooling and Care Network,5,7.02395,0.42792
2381,ROA004,Flood Defense for High-Value Assets,6,4.15329,2.11699
2381,ROA001,Household Preparedness Campaign,7,-0.03478,3.94125
2381,ROA007,Risk Mapping Dashboard Without Funding,8,-1.3221,4.79895
2382,ROA006,Drainage Repair and Social Protection Package,1,8.09497,0.2288
2382,ROA002,Public Housing Climate Retrofit,2,7.61148,0.4107
2382,ROA005,Managed Retreat with Long-Term Support,3,7.35256,0.47774
2382,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.08201,0.50661
2382,ROA003,Community-Led Cooling and Care Network,5,6.87327,0.4964
2382,ROA004,Flood Defense for High-Value Assets,6,2.07171,3.17411
2382,ROA001,Household Preparedness Campaign,7,-1.57863,4.96756
2382,ROA007,Risk Mapping Dashboard Without Funding,8,-1.85809,5.34512
2383,ROA005,Managed Retreat with Long-Term Support,1,7.64284,0.39497
2383,ROA006,Drainage Repair and Social Protection Package,2,7.48728,0.56085
2383,ROA003,Community-Led Cooling and Care Network,3,7.12099,0.52564
2383,ROA002,Public Housing Climate Retrofit,4,7.09523,0.4418
2383,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.95314,0.47657
2383,ROA004,Flood Defense for High-Value Assets,6,2.70502,3.05578
2383,ROA001,Household Preparedness Campaign,7,-0.19772,4.23062
2383,ROA007,Risk Mapping Dashboard Without Funding,8,-1.42367,5.07141
2384,ROA006,Drainage Repair and Social Protection Package,1,7.82871,0.45008
2384,ROA005,Managed Retreat with Long-Term Support,2,7.65118,0.43323
2384,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.62088,0.30225
2384,ROA002,Public Housing Climate Retrofit,4,7.61292,0.21718
2384,ROA003,Community-Led Cooling and Care Network,5,6.6798,0.57573
2384,ROA004,Flood Defense for High-Value Assets,6,2.94608,2.83075
2384,ROA001,Household Preparedness Campaign,7,-0.50659,4.43047
2384,ROA007,Risk Mapping Dashboard Without Funding,8,-1.49032,4.89876
2385,ROA005,Managed Retreat with Long-Term Support,1,7.69119,0.47841
2385,ROA006,Drainage Repair and Social Protection Package,2,7.55007,0.32518
2385,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.25796,0.55909
2385,ROA002,Public Housing Climate Retrofit,4,7.25151,0.61564
2385,ROA003,Community-Led Cooling and Care Network,5,7.12493,0.53335
2385,ROA004,Flood Defense for High-Value Assets,6,2.97729,2.73927
2385,ROA001,Household Preparedness Campaign,7,-0.92807,4.62798
2385,ROA007,Risk Mapping Dashboard Without Funding,8,-1.92331,5.26426
2386,ROA005,Managed Retreat with Long-Term Support,1,7.63214,0.41473
2386,ROA002,Public Housing Climate Retrofit,2,7.41552,0.44175
2386,ROA006,Drainage Repair and Social Protection Package,3,7.17576,0.67313
2386,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.11652,0.44483
2386,ROA003,Community-Led Cooling and Care Network,5,6.89297,0.52151
2386,ROA004,Flood Defense for High-Value Assets,6,2.72393,2.91967
2386,ROA001,Household Preparedness Campaign,7,-0.21505,4.1356
2386,ROA007,Risk Mapping Dashboard Without Funding,8,-1.33429,5.01154
2387,ROA006,Drainage Repair and Social Protection Package,1,7.56396,0.38765
2387,ROA005,Managed Retreat with Long-Term Support,2,7.29407,0.50729
2387,ROA002,Public Housing Climate Retrofit,3,7.11359,0.40567
2387,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.92267,0.4975
2387,ROA003,Community-Led Cooling and Care Network,5,6.09212,1.17269
2387,ROA004,Flood Defense for High-Value Assets,6,2.71105,2.88795
2387,ROA001,Household Preparedness Campaign,7,-0.7205,4.45117
2387,ROA007,Risk Mapping Dashboard Without Funding,8,-0.92147,4.62761
2388,ROA006,Drainage Repair and Social Protection Package,1,7.6608,0.42779
2388,ROA002,Public Housing Climate Retrofit,2,7.61822,0.4914
2388,ROA005,Managed Retreat with Long-Term Support,3,7.38045,0.26254
2388,ROA003,Community-Led Cooling and Care Network,4,7.10962,0.49553
2388,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.98386,0.47798
2388,ROA004,Flood Defense for High-Value Assets,6,3.40048,2.7838
2388,ROA007,Risk Mapping Dashboard Without Funding,7,-0.69891,4.4938
2388,ROA001,Household Preparedness Campaign,8,-1.49176,4.85201
2389,ROA006,Drainage Repair and Social Protection Package,1,7.59517,0.2871
2389,ROA005,Managed Retreat with Long-Term Support,2,7.57462,0.31891
2389,ROA002,Public Housing Climate Retrofit,3,7.39346,0.42679
2389,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.13948,0.43699
2389,ROA003,Community-Led Cooling and Care Network,5,6.8259,0.53171
2389,ROA004,Flood Defense for High-Value Assets,6,2.22492,3.29227
2389,ROA001,Household Preparedness Campaign,7,-1.01766,4.54536
2389,ROA007,Risk Mapping Dashboard Without Funding,8,-1.44495,4.8615
2390,ROA006,Drainage Repair and Social Protection Package,1,7.91348,0.29359
2390,ROA005,Managed Retreat with Long-Term Support,2,7.73151,0.30813
2390,ROA002,Public Housing Climate Retrofit,3,7.55169,0.35539
2390,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.04876,0.43773
2390,ROA003,Community-Led Cooling and Care Network,5,6.70441,0.60137
2390,ROA004,Flood Defense for High-Value Assets,6,2.52871,3.13243
2390,ROA001,Household Preparedness Campaign,7,-0.76749,4.54705
2390,ROA007,Risk Mapping Dashboard Without Funding,8,-1.65549,5.16233
2391,ROA002,Public Housing Climate Retrofit,1,7.69829,0.47161
2391,ROA005,Managed Retreat with Long-Term Support,2,7.37518,0.42822
2391,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.19283,0.61697
2391,ROA006,Drainage Repair and Social Protection Package,4,7.12004,0.55979
2391,ROA003,Community-Led Cooling and Care Network,5,6.96359,0.48371
2391,ROA004,Flood Defense for High-Value Assets,6,2.61359,2.96804
2391,ROA001,Household Preparedness Campaign,7,-0.20286,4.04942
2391,ROA007,Risk Mapping Dashboard Without Funding,8,-1.88172,5.20458
2392,ROA002,Public Housing Climate Retrofit,1,8.15646,0.33526
2392,ROA005,Managed Retreat with Long-Term Support,2,7.71247,0.46738
2392,ROA006,Drainage Repair and Social Protection Package,3,7.40739,0.35163
2392,ROA003,Community-Led Cooling and Care Network,4,6.85992,0.58635
2392,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.81175,0.50024
2392,ROA004,Flood Defense for High-Value Assets,6,3.11342,2.66626
2392,ROA001,Household Preparedness Campaign,7,-0.95633,4.60248
2392,ROA007,Risk Mapping Dashboard Without Funding,8,-1.58646,4.92437
2393,ROA005,Managed Retreat with Long-Term Support,1,8.5795,0.20164
2393,ROA006,Drainage Repair and Social Protection Package,2,7.16438,0.56923
2393,ROA002,Public Housing Climate Retrofit,3,7.09555,0.67206
2393,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.82854,0.5417
2393,ROA003,Community-Led Cooling and Care Network,5,6.69291,0.74367
2393,ROA004,Flood Defense for High-Value Assets,6,2.69674,2.83688
2393,ROA001,Household Preparedness Campaign,7,-0.75757,4.39051
2393,ROA007,Risk Mapping Dashboard Without Funding,8,-1.03708,4.77295
2394,ROA006,Drainage Repair and Social Protection Package,1,7.69129,0.42502
2394,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.60068,0.41027
2394,ROA005,Managed Retreat with Long-Term Support,3,7.54201,0.44291
2394,ROA002,Public Housing Climate Retrofit,4,7.32701,0.35989
2394,ROA003,Community-Led Cooling and Care Network,5,6.42528,0.71533
2394,ROA004,Flood Defense for High-Value Assets,6,2.08973,3.19662
2394,ROA001,Household Preparedness Campaign,7,-0.79875,4.48784
2394,ROA007,Risk Mapping Dashboard Without Funding,8,-1.19218,4.89334
2395,ROA006,Drainage Repair and Social Protection Package,1,7.69676,0.32674
2395,ROA002,Public Housing Climate Retrofit,2,7.66721,0.44056
2395,ROA005,Managed Retreat with Long-Term Support,3,7.61332,0.47661
2395,ROA003,Community-Led Cooling and Care Network,4,7.03428,0.54477
2395,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.68343,0.59154
2395,ROA004,Flood Defense for High-Value Assets,6,1.70193,3.4882
2395,ROA001,Household Preparedness Campaign,7,-1.3507,4.87766
2395,ROA007,Risk Mapping Dashboard Without Funding,8,-2.05748,5.316
2396,ROA006,Drainage Repair and Social Protection Package,1,7.84766,0.22788
2396,ROA002,Public Housing Climate Retrofit,2,7.51487,0.48211
2396,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.43067,0.35539
2396,ROA005,Managed Retreat with Long-Term Support,4,7.23044,0.50971
2396,ROA003,Community-Led Cooling and Care Network,5,6.57457,0.75546
2396,ROA004,Flood Defense for High-Value Assets,6,2.64045,2.88446
2396,ROA001,Household Preparedness Campaign,7,-0.5473,4.22752
2396,ROA007,Risk Mapping Dashboard Without Funding,8,-1.00643,4.7736
2397,ROA006,Drainage Repair and Social Protection Package,1,8.30355,0.23142
2397,ROA005,Managed Retreat with Long-Term Support,2,8.07341,0.30837
2397,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.50508,0.48466
2397,ROA002,Public Housing Climate Retrofit,4,7.40274,0.412
2397,ROA003,Community-Led Cooling and Care Network,5,6.4364,0.93441
2397,ROA004,Flood Defense for High-Value Assets,6,3.10574,2.84988
2397,ROA001,Household Preparedness Campaign,7,-0.68812,4.58492
2397,ROA007,Risk Mapping Dashboard Without Funding,8,-0.74816,4.58699
2398,ROA006,Drainage Repair and Social Protection Package,1,7.86661,0.32253
2398,ROA002,Public Housing Climate Retrofit,2,7.65131,0.38872
2398,ROA005,Managed Retreat with Long-Term Support,3,7.45031,0.47521
2398,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.18917,0.51848
2398,ROA003,Community-Led Cooling and Care Network,5,6.51145,0.69647
2398,ROA004,Flood Defense for High-Value Assets,6,3.09965,2.73703
2398,ROA001,Household Preparedness Campaign,7,-0.54792,4.34698
2398,ROA007,Risk Mapping Dashboard Without Funding,8,-1.50499,5.14641
2399,ROA005,Managed Retreat with Long-Term Support,1,7.42828,0.49347
2399,ROA006,Drainage Repair and Social Protection Package,2,7.38836,0.33191
2399,ROA002,Public Housing Climate Retrofit,3,7.35843,0.32333
2399,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.23717,0.47216
2399,ROA003,Community-Led Cooling and Care Network,5,6.724,0.6404
2399,ROA004,Flood Defense for High-Value Assets,6,3.30101,2.69972
2399,ROA001,Household Preparedness Campaign,7,-0.41068,4.3319
2399,ROA007,Risk Mapping Dashboard Without Funding,8,-1.27343,4.98626
2400,ROA002,Public Housing Climate Retrofit,1,7.91156,0.28733
2400,ROA006,Drainage Repair and Social Protection Package,2,7.6623,0.45155
2400,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.34833,0.53151
2400,ROA005,Managed Retreat with Long-Term Support,4,7.19999,0.43859
2400,ROA003,Community-Led Cooling and Care Network,5,6.36081,0.88041
2400,ROA004,Flood Defense for High-Value Assets,6,2.58328,2.99567
2400,ROA001,Household Preparedness Campaign,7,-0.79189,4.58442
2400,ROA007,Risk Mapping Dashboard Without Funding,8,-1.4439,5.08468
2401,ROA002,Public Housing Climate Retrofit,1,7.96872,0.34212
2401,ROA006,Drainage Repair and Social Protection Package,2,7.91337,0.38742
2401,ROA005,Managed Retreat with Long-Term Support,3,7.70755,0.45461
2401,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.0038,0.54841
2401,ROA003,Community-Led Cooling and Care Network,5,5.86288,1.07824
2401,ROA004,Flood Defense for High-Value Assets,6,2.17405,3.15476
2401,ROA001,Household Preparedness Campaign,7,-0.84253,4.60255
2401,ROA007,Risk Mapping Dashboard Without Funding,8,-2.03648,5.38266
2402,ROA006,Drainage Repair and Social Protection Package,1,7.92921,0.33206
2402,ROA005,Managed Retreat with Long-Term Support,2,7.65419,0.32124
2402,ROA003,Community-Led Cooling and Care Network,3,7.42503,0.40006
2402,ROA002,Public Housing Climate Retrofit,4,7.28907,0.43798
2402,ROA008,Mutual Aid Network with Public Capacity Agreement,5,7.10172,0.36006
2402,ROA004,Flood Defense for High-Value Assets,6,2.09799,3.42085
2402,ROA001,Household Preparedness Campaign,7,-0.23678,4.19438
2402,ROA007,Risk Mapping Dashboard Without Funding,8,-1.25892,4.8518
2403,ROA005,Managed Retreat with Long-Term Support,1,7.81868,0.35493
2403,ROA006,Drainage Repair and Social Protection Package,2,7.45452,0.45691
2403,ROA002,Public Housing Climate Retrofit,3,7.35372,0.44252
2403,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.33361,0.37659
2403,ROA003,Community-Led Cooling and Care Network,5,6.53818,0.63788
2403,ROA004,Flood Defense for High-Value Assets,6,2.80633,2.88989
2403,ROA001,Household Preparedness Campaign,7,-0.19201,4.17245
2403,ROA007,Risk Mapping Dashboard Without Funding,8,-1.40648,4.88645
2404,ROA005,Managed Retreat with Long-Term Support,1,7.97065,0.50035
2404,ROA006,Drainage Repair and Social Protection Package,2,7.736,0.38607
2404,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.12416,0.49018
2404,ROA002,Public Housing Climate Retrofit,4,7.0432,0.68542
2404,ROA003,Community-Led Cooling and Care Network,5,5.81024,1.0458
2404,ROA004,Flood Defense for High-Value Assets,6,3.67386,2.5861
2404,ROA001,Household Preparedness Campaign,7,-0.23781,4.32362
2404,ROA007,Risk Mapping Dashboard Without Funding,8,-2.4383,5.6623
2405,ROA002,Public Housing Climate Retrofit,1,7.65946,0.34523
2405,ROA005,Managed Retreat with Long-Term Support,2,7.42918,0.42302
2405,ROA006,Drainage Repair and Social Protection Package,3,7.38325,0.44675
2405,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.22862,0.46041
2405,ROA003,Community-Led Cooling and Care Network,5,5.7834,0.91998
2405,ROA004,Flood Defense for High-Value Assets,6,2.92156,2.89551
2405,ROA001,Household Preparedness Campaign,7,-0.75606,4.5338
2405,ROA007,Risk Mapping Dashboard Without Funding,8,-1.20613,4.95259
2406,ROA006,Drainage Repair and Social Protection Package,1,8.13042,0.33595
2406,ROA005,Managed Retreat with Long-Term Support,2,7.81893,0.38845
2406,ROA002,Public Housing Climate Retrofit,3,7.65927,0.47677
2406,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.34284,0.57043
2406,ROA003,Community-Led Cooling and Care Network,5,6.26399,0.84219
2406,ROA004,Flood Defense for High-Value Assets,6,3.45716,2.64137
2406,ROA001,Household Preparedness Campaign,7,-0.64441,4.46702
2406,ROA007,Risk Mapping Dashboard Without Funding,8,-1.75107,5.0421
2407,ROA005,Managed Retreat with Long-Term Support,1,7.83266,0.48456
2407,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.55443,0.48491
2407,ROA002,Public Housing Climate Retrofit,3,7.47292,0.37486
2407,ROA006,Drainage Repair and Social Protection Package,4,7.13197,0.59172
2407,ROA003,Community-Led Cooling and Care Network,5,6.72397,0.59318
2407,ROA004,Flood Defense for High-Value Assets,6,2.36516,3.19136
2407,ROA001,Household Preparedness Campaign,7,-0.459,4.28261
2407,ROA007,Risk Mapping Dashboard Without Funding,8,-0.63059,4.5393
2408,ROA005,Managed Retreat with Long-Term Support,1,7.91716,0.28524
2408,ROA006,Drainage Repair and Social Protection Package,2,7.69055,0.45285
2408,ROA002,Public Housing Climate Retrofit,3,7.45822,0.22159
2408,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.59708,0.70478
2408,ROA003,Community-Led Cooling and Care Network,5,6.20756,0.8067
2408,ROA004,Flood Defense for High-Value Assets,6,2.65586,2.95676
2408,ROA007,Risk Mapping Dashboard Without Funding,7,-0.9635,4.89685
2408,ROA001,Household Preparedness Campaign,8,-1.33083,4.82922
2409,ROA005,Managed Retreat with Long-Term Support,1,8.09259,0.31309
2409,ROA006,Drainage Repair and Social Protection Package,2,7.90487,0.39329
2409,ROA002,Public Housing Climate Retrofit,3,6.9239,0.56899
2409,ROA003,Community-Led Cooling and Care Network,4,6.5272,0.81841
2409,ROA008,Mutual Aid Network with Public Capacity Agreement,5,6.27576,1.04872
2409,ROA004,Flood Defense for High-Value Assets,6,2.40428,3.0994
2409,ROA001,Household Preparedness Campaign,7,-0.38813,4.33423
2409,ROA007,Risk Mapping Dashboard Without Funding,8,-2.12676,5.34994
2410,ROA002,Public Housing Climate Retrofit,1,7.76811,0.42257
2410,ROA005,Managed Retreat with Long-Term Support,2,7.67317,0.5359
2410,ROA008,Mutual Aid Network with Public Capacity Agreement,3,7.36486,0.3489
2410,ROA003,Community-Led Cooling and Care Network,4,7.34792,0.45261
2410,ROA006,Drainage Repair and Social Protection Package,5,7.21342,0.44007
2410,ROA004,Flood Defense for High-Value Assets,6,3.2401,2.58489
2410,ROA001,Household Preparedness Campaign,7,-0.48987,4.30783
2410,ROA007,Risk Mapping Dashboard Without Funding,8,-1.7714,5.06125
2411,ROA006,Drainage Repair and Social Protection Package,1,7.85917,0.32589
2411,ROA005,Managed Retreat with Long-Term Support,2,7.80453,0.59326
2411,ROA002,Public Housing Climate Retrofit,3,7.31375,0.49399
2411,ROA008,Mutual Aid Network with Public Capacity Agreement,4,6.92659,0.48264
2411,ROA003,Community-Led Cooling and Care Network,5,6.02134,1.04418
2411,ROA004,Flood Defense for High-Value Assets,6,1.96005,3.3833
2411,ROA001,Household Preparedness Campaign,7,0.3413,3.79813
2411,ROA007,Risk Mapping Dashboard Without Funding,8,-1.99244,5.42706
2412,ROA006,Drainage Repair and Social Protection Package,1,7.94044,0.38475
2412,ROA005,Managed Retreat with Long-Term Support,2,7.64666,0.39828
2412,ROA002,Public Housing Climate Retrofit,3,7.52586,0.45768
2412,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.02774,0.5255
2412,ROA003,Community-Led Cooling and Care Network,5,6.21565,0.76838
2412,ROA004,Flood Defense for High-Value Assets,6,3.06385,2.78289
2412,ROA007,Risk Mapping Dashboard Without Funding,7,-0.43757,4.36418
2412,ROA001,Household Preparedness Campaign,8,-1.16367,4.68307
2413,ROA006,Drainage Repair and Social Protection Package,1,7.72648,0.37463
2413,ROA002,Public Housing Climate Retrofit,2,6.99735,0.58448
2413,ROA008,Mutual Aid Network with Public Capacity Agreement,3,6.88267,0.60463
2413,ROA005,Managed Retreat with Long-Term Support,4,6.6777,0.6289
2413,ROA003,Community-Led Cooling and Care Network,5,6.13223,0.98895
2413,ROA004,Flood Defense for High-Value Assets,6,2.56986,3.17067
2413,ROA001,Household Preparedness Campaign,7,-0.97526,4.64776
2413,ROA007,Risk Mapping Dashboard Without Funding,8,-1.9072,5.26575
2414,ROA006,Drainage Repair and Social Protection Package,1,7.71116,0.36278
2414,ROA005,Managed Retreat with Long-Term Support,2,7.47858,0.43096
2414,ROA002,Public Housing Climate Retrofit,3,7.45935,0.44211
2414,ROA008,Mutual Aid Network with Public Capacity Agreement,4,7.28915,0.44007
2414,ROA003,Community-Led Cooling and Care Network,5,6.93827,0.64782
2414,ROA004,Flood Defense for High-Value Assets,6,2.87922,2.99567
2414,ROA001,Household Preparedness Campaign,7,-1.17821,4.92759
2414,ROA007,Risk Mapping Dashboard Without Funding,8,-1.46931,5.08038
2415,ROA005,Managed Retreat with Long-Term Support,1,7.54009,0.55878
2415,ROA008,Mutual Aid Network with Public Capacity Agreement,2,7.44524,0.38063
2415,ROA002,Public Housing Climate Retrofit,3,7.40415,0.46264
2415,ROA006,Drainage Repair and Social Protection Package,4,7.3061,0.517
2415,ROA003,Community-Led Cooling and Care Network,5,6.65341,0.80786
2415,ROA004,Flood Defense for High-Value Assets,6,2.3339,3.15967
2415,ROA007,Risk Mapping Dashboard Without Funding,7,-1.15681,4.72261
2415,ROA001,Household Preparedness Campaign,8,-1.70619,5.02859
